,street_number,street_name,states,formed,removed,length_(mi),length_(km),southern_or_western_terminus,northern_or_eastern_terminus,wiki_link,wiki_id,coordinates_name,icon_name,notes
0,US 1,U.S. Route 1,"['Florida', 'Georgia', 'South Carolina', 'North Carolina', 'Virginia', 'District of Columbia', 'Maryland', 'Pennsylvania', 'New Jersey', 'New York', 'Connecticut', 'Rhode Island', 'Massachusetts', 'New Hampshire', 'Maine']",1926.0,,2369.0,3813.0,"Fleming and Whitehead streets in Key West, FL","Route 161 at Canadian border in Fort Kent, ME",https://en.wikipedia.org/wiki/U.S._Route_1,Q406204,u.s._route_1,u.s._route_1,Longest north–south road in the United States; Follows the East Coast of the United States
1,US 2,U.S. Route 2,"['Washington', 'Idaho', 'Montana', 'North Dakota', 'Minnesota', 'Wisconsin', 'Michigan', 'New York', 'Vermont', 'New Hampshire', 'Maine']",1926.0,,2112.0,3399.0,"I-5/SR 529 in Everett, WA","I-75 in St. Ignace, MI",https://en.wikipedia.org/wiki/U.S._Route_2,Q406224,u.s._route_2,u.s._route_2,Western segment
2,US 2,U.S. Route 2,"['Washington', 'Idaho', 'Montana', 'North Dakota', 'Minnesota', 'Wisconsin', 'Michigan', 'New York', 'Vermont', 'New Hampshire', 'Maine']",1926.0,,460.0,740.0,"US 11 in Rouses Point, NY","I-95 in Houlton, ME",https://en.wikipedia.org/wiki/U.S._Route_2,Q406224,u.s._route_2,u.s._route_2,Eastern segment
3,US 3,U.S. Route 3,"['Massachusetts', 'New Hampshire']",1926.0,,273.0,439.0,Route 2A/Route 3 in Cambridge,"Route 257 at the Canadian border in Pittsburg, NH",https://en.wikipedia.org/wiki/U.S._Route_3,Q406241,u.s._route_3,u.s._route_3,
4,US 4,U.S. Route 4,"['New York', 'Vermont', 'New Hampshire']",1926.0,,256.0,412.0,"US 9, US 20 southeast of Albany, NY","I-95/Blue Star Turnpike, Spaulding Turnpike, US 1 Byp., NH 16 in Portsmouth, NH",https://en.wikipedia.org/wiki/U.S._Route_4,Q406257,u.s._route_4,u.s._route_4,Signed north-south in New York
5,US 5,U.S. Route 5,"['Connecticut', 'Massachusetts', 'Vermont']",1926.0,,300.0,480.0,"I-91 in New Haven, CT","Route 143 at the Canadian border in Derby Line, VT",https://en.wikipedia.org/wiki/U.S._Route_5,Q406273,u.s._route_5,u.s._route_5,
6,US 6,U.S. Route 6,"['California', 'Nevada', 'Utah', 'Colorado', 'Nebraska', 'Iowa', 'Illinois', 'Indiana', 'Ohio', 'Pennsylvania', 'New York', 'Connecticut', 'Rhode Island', 'Massachusetts']",1926.0,,3198.87,5148.08,"US 395 in Bishop, CA","Route 6A in Provincetown, MA",https://en.wikipedia.org/wiki/U.S._Route_6,Q303037,u.s._route_6,u.s._route_6,Grand Army of the Republic Highway
7,US 7,U.S. Route 7,"['Connecticut', 'Massachusetts', 'Vermont']",1926.0,,309.0,497.0,"I-95 in Norwalk, CT","I-89 near Swanton, VT",https://en.wikipedia.org/wiki/U.S._Route_7,Q406788,u.s._route_7,u.s._route_7,
8,US 8,U.S. Route 8,"['Minnesota', 'Wisconsin', 'Michigan']",1926.0,,281.0,452.0,"I-35 in Forest Lake, MN","US 2 in Norway, MI",https://en.wikipedia.org/wiki/U.S._Route_8,Q406815,u.s._route_8,u.s._route_8,
9,US 9,U.S. Route 9,"['Delaware', 'New Jersey', 'New York']",1926.0,,521.0,838.0,"US 13 in Laurel, DE","I-87 at Champlain, NY",https://en.wikipedia.org/wiki/U.S._Route_9,Q406831,u.s._route_9,u.s._route_9,Route includes Cape May–Lewes Ferry across the Delaware Bay; New York signs the northern end at a dead-ending parking lot just south of the border crossing
10,US 10,U.S. Route 10,"['North Dakota', 'Minnesota', 'Wisconsin', 'Michigan']",1926.0,,711.0,1144.0,"I-94/BL I-94/US 52 in West Fargo, ND","I-75/BL I-75/US 23/M-25 near Bay City, MI",https://en.wikipedia.org/wiki/U.S._Route_10,Q406876,u.s._route_10,u.s._route_10,Route includes the SS Badger across Lake Michigan
11,US 11,U.S. Route 11,"['Louisiana', 'Mississippi', 'Alabama', 'Georgia', 'Tennessee', 'Virginia', 'West Virginia', 'Maryland', 'Pennsylvania', 'New York']",1926.0,,1645.0,2647.0,"US 90 east of New Orleans, LA","Canadian border at Rouses Point, NY",https://en.wikipedia.org/wiki/U.S._Route_11,Q407534,u.s._route_11,u.s._route_11,
12,US 12,U.S. Route 12,"['Washington', 'Idaho', 'Montana', 'North Dakota', 'South Dakota', 'Minnesota', 'Wisconsin', 'Illinois', 'Indiana', 'Michigan']",1926.0,,2484.0,3998.0,"US 101 at Aberdeen, WA","M-1/M-85 in Detroit, MI",https://en.wikipedia.org/wiki/U.S._Route_12,Q407564,u.s._route_12,u.s._route_12,
13,US 13,U.S. Route 13,"['North Carolina', 'Virginia', 'Maryland', 'Delaware', 'Pennsylvania']",1926.0,,526.0,847.0,"I-95/I-295 northeast of Fayetteville, NC","US 1 in Morrisville, PA",https://en.wikipedia.org/wiki/U.S._Route_13,Q407619,u.s._route_13,u.s._route_13,"Pennsylvania signs the northern end at US 1, just south of AASHTO's end"
14,US 14,U.S. Route 14,"['Wyoming', 'South Dakota', 'Minnesota', 'Wisconsin', 'Illinois']",1926.0,,1398.0,2250.0,"US 16/US 20/Grand Loop Road in Yellowstone National Park, WY","US 41 in Chicago, IL",https://en.wikipedia.org/wiki/U.S._Route_14,Q407638,u.s._route_14,u.s._route_14,
15,US 15,U.S. Route 15,"['South Carolina', 'North Carolina', 'Virginia', 'Maryland', 'Pennsylvania', 'New York']",1926.0,,792.0,1275.0,"US 17 Alt./ in Walterboro, SC","I-86/I-99/NY 17 in Painted Post, NY",https://en.wikipedia.org/wiki/U.S._Route_15,Q407683,u.s._route_15,u.s._route_15,
16,US 16,U.S. Route 16,"['Wyoming', 'South Dakota']",1926.0,,489.0,787.0,"US 14/US 20/Grand Loop Road in Yellowstone National Park, WY","I-90/I-190/US 14/SD 79 in Rapid City, SD",https://en.wikipedia.org/wiki/U.S._Route_16,Q407823,u.s._route_16,u.s._route_16,
17,US 17,U.S. Route 17,"['Florida', 'Georgia', 'South Carolina', 'North Carolina', 'Virginia']",1926.0,,1189.0,1914.0,"US 41 in Punta Gorda, FL","US 11, US 50, US 522 in Winchester, VA",https://en.wikipedia.org/wiki/U.S._Route_17,Q407838,u.s._route_17,u.s._route_17,
18,US 17-1,U.S. Route 17-1,,1926.0,1932.0,243.0,391.0,"Wilmington, NC","Petersburg, VA",https://en.wikipedia.org/wiki/U.S._Route_17-1,Q2429201,,u.s._route_17-1,Replaced by US 117 and US 301
19,US 18,U.S. Route 18,"['Wyoming', 'South Dakota', 'Iowa', 'Wisconsin']",1926.0,,1033.0,1662.0,"I-25, US 20, US 26, US 87 in Orin, WY","East Michigan Street and Lincoln Memorial Drive in Milwaukee, WI",https://en.wikipedia.org/wiki/U.S._Route_18,Q407853,u.s._route_18,u.s._route_18,
