date,weekday,CO,O3,NO2,SO2,PM10,PM2.5,AQI,clean,acceptable,unhealthy_for_the_sensitive,unhealthy,very_unhealthy,hazardous
8/9/2016,Tuesday,46,62,84,20,60,82,82,,1,,,,
8/10/2016,Wednesday,52,63,84,22,63,92,92,,1,,,,
8/11/2016,Thursday,46,67,88,20,67,90,90,,1,,,,
8/12/2016,Friday,48,67,80,18,63,85,85,,1,,,,
8/13/2016,Saturday,43,55,83,18,58,85,85,,1,,,,
8/14/2016,Sunday,42,43,80,20,61,87,87,,1,,,,
8/15/2016,Monday,51,50,80,21,67,95,95,,1,,,,
8/16/2016,Tuesday,32,48,76,18,65,94,94,,1,,,,
8/17/2016,Wednesday,38,44,77,20,60,83,83,,1,,,,
8/18/2016,Thursday,40,48,75,21,63,83,83,,1,,,,
8/19/2016,Friday,44,46,71,19,62,85,85,,1,,,,
8/20/2016,Saturday,49,57,72,20,54,81,81,,1,,,,
8/21/2016,Sunday,41,53,86,20,63,93,93,,1,,,,
8/22/2016,Monday,33,55,80,19,64,89,89,,1,,,,
8/23/2016,Tuesday,34,56,80,20,63,87,87,,1,,,,
8/24/2016,Wednesday,39,56,80,20,60,85,85,,1,,,,
8/25/2016,Thursday,43,60,81,20,68,93,93,,1,,,,
8/26/2016,Friday,48,61,78,20,64,90,90,,1,,,,
8/27/2016,Saturday,51,67,81,22,63,88,88,,1,,,,
8/28/2016,Sunday,42,69,74,21,69,94,94,,1,,,,
8/29/2016,Monday,49,48,86,22,76,99,99,,1,,,,
8/30/2016,Tuesday,45,37,81,21,73,96,96,,1,,,,
8/31/2016,Wednesday,47,46,81,22,71,98,98,,1,,,,
9/1/2016,Thursday,41,47,76,23,79,101,101,,,1,,,
9/2/2016,Friday,30,41,70,20,70,92,92,,1,,,,
9/3/2016,Saturday,34,48,63,17,114,124,124,,,1,,,
9/4/2016,Sunday,46,50,72,22,80,107,107,,,1,,,
9/5/2016,Monday,53,43,75,19,79,103,103,,,1,,,
9/6/2016,Tuesday,45,43,71,22,67,85,85,,1,,,,
9/7/2016,Wednesday,48,57,88,27,75,103,103,,,1,,,
