Date, Open, High, Low, Close
05/28/24, 39028.99, 39028.99, 38706.14, 38852.86
05/24/24, 39089.23, 39220.31, 39020.29, 39069.59
05/23/24, 39694.95, 39694.95, 39025.51, 39065.26
05/22/24, 39863.33, 39890.91, 39559.09, 39671.04
05/21/24, 39804.40, 39905.80, 39778.73, 39872.99
05/20/24, 39989.76, 40077.40, 39787.09, 39806.77
05/17/24, 39911.72, 40010.88, 39858.86, 40003.59
05/16/24, 39912.34, 40051.05, 39864.68, 39869.38
05/15/24, 39615.10, 39935.04, 39615.10, 39908.00
05/14/24, 39466.76, 39616.41, 39371.92, 39558.11
05/13/24, 39591.28, 39647.39, 39403.05, 39431.51
05/10/24, 39466.52, 39579.88, 39406.26, 39512.84
05/09/24, 39064.27, 39413.66, 38988.85, 39387.76
05/08/24, 38818.90, 39094.74, 38814.99, 39056.39
05/07/24, 38858.94, 38977.61, 38840.40, 38884.26
05/06/24, 38762.43, 38886.47, 38689.38, 38852.27
05/03/24, 38709.36, 38808.52, 38518.28, 38675.68
05/02/24, 38075.65, 38295.29, 37895.66, 38225.66
05/01/24, 37845.56, 38349.20, 37780.54, 37903.29
04/30/24, 38337.40, 38337.40, 37810.12, 37815.92
04/29/24, 38282.16, 38406.20, 38215.47, 38386.09
04/26/24, 38114.70, 38337.64, 38065.05, 38239.66
04/25/24, 38052.09, 38157.22, 37754.38, 38085.80
04/24/24, 38552.79, 38552.79, 38310.55, 38460.92
04/23/24, 38356.07, 38561.50, 38297.72, 38503.69
04/22/24, 38116.89, 38447.16, 37985.07, 38239.98
04/19/24, 37801.98, 38102.57, 37781.61, 37986.40
04/18/24, 37847.21, 38083.76, 37681.52, 37775.38
04/17/24, 37949.67, 38036.70, 37611.56, 37753.31
04/16/24, 37992.22, 37992.22, 37713.70, 37798.97
04/15/24, 38075.38, 38386.81, 37657.79, 37735.11
04/12/24, 38319.14, 38319.14, 37877.30, 37983.24
04/11/24, 38523.26, 38598.98, 38197.28, 38459.08
04/10/24, 38662.28, 38662.28, 38304.66, 38461.51
04/09/24, 38983.66, 38992.89, 38572.09, 38883.67
04/08/24, 38916.42, 39013.20, 38857.70, 38892.80
04/05/24, 38664.98, 39040.17, 38602.18, 38904.04
04/04/24, 39343.60, 39421.35, 38559.42, 38596.98
04/03/24, 39139.59, 39305.76, 39017.13, 39127.14
04/02/24, 39256.27, 39256.27, 39051.70, 39170.24
04/01/24, 39807.93, 39815.00, 39491.22, 39566.85
03/28/24, 39763.74, 39868.59, 39717.25, 39807.37
03/27/24, 39461.98, 39769.41, 39461.98, 39760.08
03/26/24, 39338.32, 39439.44, 39277.19, 39282.33
03/25/24, 39410.54, 39430.17, 39296.03, 39313.64
03/22/24, 39774.06, 39824.76, 39469.53, 39475.90
03/21/24, 39661.03, 39889.05, 39589.23, 39781.37
03/20/24, 39072.05, 39529.13, 38988.65, 39512.13
03/19/24, 38819.61, 39122.71, 38761.28, 39110.76
03/18/24, 38826.93, 38898.41, 38760.79, 38790.43
03/15/24, 38809.65, 38928.13, 38618.20, 38714.77
03/14/24, 39122.39, 39160.25, 38704.36, 38905.66
03/13/24, 39054.58, 39201.94, 38937.92, 39043.32
03/12/24, 38883.32, 39071.56, 38711.39, 39005.49
03/11/24, 38667.21, 38794.76, 38483.25, 38769.66
03/08/24, 38776.80, 38971.15, 38705.03, 38722.69
03/07/24, 38784.30, 38910.35, 38730.13, 38791.35
03/06/24, 38721.15, 38858.13, 38570.80, 38661.05
03/05/24, 38906.98, 38906.98, 38457.83, 38585.19
03/04/24, 38968.77, 39087.86, 38913.30, 38989.83
03/01/24, 38989.51, 39120.36, 38850.50, 39087.38
02/29/24, 39013.75, 39074.13, 38809.28, 38996.39
